"","logFC","AveExpr","t","P.Value","adj.P.Val","B","GeneSymbol"
"239742_at",364.038344979837,805.450841869565,3.12115787617877,0.00213794172274704,0.0101973273742645,-3.29272994600263,"TULP4"
"202023_at",71.1216537040983,240.497525434783,3.12058155501746,0.00214188629673663,0.0102134688011578,-3.29325546430472,"EFNA1"
"1564208_x_at",324.862953593443,908.403775652174,3.12048539387584,0.00214254511760668,0.0102143301522952,-3.29334314120425,"LINC00957"
"227461_at",179.83753877377,496.403441068323,3.12021186288623,0.0021444201634433,0.0102193125107873,-3.29359252680725,"STON2"
"235789_at",38.9129667940164,95.4734754335404,3.11909565272237,0.00215208750098114,0.0102487051751715,-3.29461002316507,"KDM4B"
"235133_at",87.6758171475409,295.914396136646,3.11826012659554,0.00215784339135616,0.0102743261710701,-3.29537146618794,"ZDHHC14"
"1558844_at",15.6287817678688,45.4581999403727,3.11814602798593,0.00215863051456983,0.0102771789780656,-3.29547543532204,"GVQW3"
"1557275_a_at",33.0847537027869,58.8594431285714,3.11792716649023,0.00216014110104659,0.0102834753765539,-3.29567485809262,"TLCD2"
"215467_x_at",124.570742057377,340.727090155279,3.11710790230115,0.0021658043675681,0.0102996741581966,-3.29642125712146,"DHX9-AS1"
"200696_s_at",162.403452908853,331.592470012422,3.1157240823995,0.00217540140808872,0.0103417156757891,-3.29768164123352,"GSN"
"233638_s_at",15.0190574456557,37.6456884484472,3.11509458247378,0.0021797801116222,0.0103589289528852,-3.29825484084947,"POMGNT1"
"212356_at",61.1112954421312,183.743970689441,3.11456470570332,0.00218347217154482,0.010373769636706,-3.29873725485869,"KHNYN"
"230214_at",136.749822235082,278.215125890683,3.1140595778392,0.00218699717285703,0.0103878090892154,-3.29919707517538,"IRAG1"
"238886_at",61.7261389047542,178.677614596273,3.11401021743839,0.0021873419133832,0.0103885440509231,-3.29924200495851,"TMED10"
"225701_at",26.8663027615082,61.5692672428571,3.11281534511253,0.00219570243791919,0.0104182965194161,-3.30032944958827,"AKNA"
"205092_x_at",43.557935104754,134.411262862733,3.11039783139529,0.0022127082780427,0.0104880645948838,-3.30252858142542,"ZBTB1"
