"","logFC","AveExpr","t","P.Value","adj.P.Val","B","colour"
"215062_at",98.5765181032787,225.063436192547,4.23176735177041,3.89463467145202e-05,0.000360181242661771,-2.1463977513703,"Upregulated"
"208478_s_at",-27.5300946313115,46.4813690621118,-4.23170575134888,3.89559379769876e-05,0.000360209015540639,-2.14646807621806,"Downregulated"
"243432_at",-60.3605291072131,137.609847099379,-4.2316556375006,3.89637424348944e-05,0.000360220259997946,-2.14652528716055,"Downregulated"
"224450_s_at",-89.8562677255738,216.167539652174,-4.23159593539477,3.89730420710428e-05,0.00036024532125685,-2.14659344366274,"Downregulated"
"218839_at",-264.569756888525,519.624552142857,-4.231550142947,3.89801764781713e-05,0.000360250363242735,-2.14664572033621,"Downregulated"
"243910_x_at",-157.162462920328,306.956785583851,-4.23103814987841,3.9060029616086e-05,0.000360876034184773,-2.1472301864677,"Downregulated"
"207400_at",-32.3235339704754,54.6694401372671,-4.2310314427672,3.90610767316961e-05,0.000360876034184773,-2.1472378426678,"Downregulated"
"205818_at",-1046.23929790656,2023.85867037267,-4.23082913650211,3.90926734700136e-05,0.000361096481699728,-2.14746877250409,"Downregulated"
"204672_s_at",-114.064320272951,196.451378726708,-4.23079410855555,3.90981467153615e-05,0.000361096481699728,-2.14750875568898,"Downregulated"
"224341_x_at",40.1904997795082,83.2752849118012,4.23063756170512,3.91226167090053e-05,0.000361261453903879,-2.14768744582377,"Upregulated"
